epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62352,2.11791,3.73796,1.75971,0.00874,0.19118,0.01605,0.00416,2.4834,3.96005,2.37711,1.25e-05,1.25e-05,1.25e-05
2,12.0575,2.02351,3.74557,1.66611,0.00899,0.14706,0.01632,0.00447,2.48074,3.95255,2.33551,3.73144e-05,3.73144e-05,3.73144e-05
3,15.0016,1.97101,3.67992,1.73731,0.01295,0.16912,0.02741,0.00813,2.30573,3.92581,2.15319,6.18813e-05,6.18813e-05,6.18813e-05
4,17.4408,1.91423,3.72722,1.5782,0.02381,0.19118,0.04319,0.01586,2.00737,3.84971,1.85548,8.62006e-05,8.62006e-05,8.62006e-05
5,19.7322,1.5623,3.55481,1.3602,0.03148,0.25,0.11198,0.0659,1.44346,3.6723,1.3868,0.000110272,0.000110272,0.000110272
6,21.9514,1.31529,3.45319,1.22017,0.0353,0.25556,0.21481,0.18344,1.2059,3.50762,1.1355,0.000134097,0.000134097,0.000134097
7,23.7669,1.15556,3.28405,1.14978,0.03636,0.32448,0.25264,0.23217,1.00415,3.41265,0.9992,0.000157674,0.000157674,0.000157674
8,26.6744,1.17686,3.15426,1.11651,0.05696,0.41701,0.2677,0.24124,0.95457,3.40017,0.95833,0.000181003,0.000181003,0.000181003
9,29.0904,1.14187,2.96897,1.11435,0.06687,0.45937,0.27549,0.24027,0.95698,3.39393,0.96389,0.000204085,0.000204085,0.000204085
10,31.2098,1.10328,2.93445,1.07682,0.07266,0.51181,0.28522,0.24099,0.98148,3.37095,0.96812,0.000226919,0.000226919,0.000226919
11,33.1635,1.0947,2.80752,1.06803,0.0875,0.55868,0.29598,0.24902,1.03828,3.3339,0.9769,0.000249506,0.000249506,0.000249506
12,34.926,1.09208,2.68295,1.02572,0.09486,0.59774,0.31229,0.25496,1.05824,3.30428,0.9765,0.000271846,0.000271846,0.000271846
13,36.8809,1.08878,2.58822,1.0232,0.1061,0.67361,0.35809,0.27474,1.01315,3.2987,0.95546,0.000293937,0.000293937,0.000293937
14,39.1551,1.07885,2.55503,1.04379,0.09889,0.66476,0.44513,0.33565,0.95069,3.29437,0.92256,0.000315782,0.000315782,0.000315782
15,41.6156,1.05778,2.36285,1.05596,0.10413,0.7217,0.47828,0.3394,0.94265,3.28951,0.92106,0.000337379,0.000337379,0.000337379
16,43.5741,1.02008,2.16555,1.06224,0.10248,0.73733,0.48678,0.34494,0.97074,3.2721,0.92582,0.000358728,0.000358728,0.000358728
